used,"x, 2theta (deg)",obs,calc,bkg,diff,Gd2Zr2O7,tick-pos,diff/sigma,Axis-limits
1,22.8,19463.3,19744.54708,19744.54708,-2325.447078, , ,186.21680912312937, 
1,22.81,19490,19741.54061,19741.54061,-2295.740609, , ,185.58906217770485, 
1,22.82,19796.7,19738.534523849954,19738.534523849954,-1986.034524, , ,186.59233639139632, 
1,22.83,19860,19735.528825696456,19735.528825696456,-1919.728826, , ,186.4403389827427, 
1,22.84,20080,19732.52352,19732.52352,-1696.723516, , ,185.4904310200394, 
1,22.85,19666.7,19729.51859644434,19729.51859644434,-2107.018596, , ,185.7417562100671, 
1,22.86,19420,19726.514068961944,19726.514068961944,-2350.714069, , ,186.76188047886004, 
1,22.87,19313.3,19723.50993531592,19723.50993531592,-2454.409935, , ,187.7144107414239, 
1,22.88,19400,19720.506197309078,19720.506197309078,-2364.706197, , ,185.22958726942088, 
1,22.89,19393.3,19717.50285674213,19717.50285674213,-2368.402857, , ,187.35874679341768, 
1,22.9,19660,19714.49991541363,19714.49991541363,-2098.699915, , ,186.77071504922822, 
1,22.91,19560,19711.49737512006,19711.49737512006,-2195.697375, , ,186.4403389827427, 
